id iq logcond
-1.2000000 0.7092683 0.7382256
-1.2000000 0.7512195 0.7576953
-1.2000000 0.7931707 0.7778857
-1.2000000 0.8351220 0.7987828
-1.2000000 0.8770732 0.8203787
-1.2000000 0.9190244 0.8426716
-1.2000000 0.9609756 0.8656662
-1.2000000 1.0029268 0.8893734
-1.2000000 1.0448780 0.9138107
-1.2000000 1.0868293 0.9390026
-1.2000000 1.1287805 0.9649809
-1.2000000 1.1707317 0.9917855
-1.2000000 1.2126829 1.0194652
-1.2000000 1.2546341 1.0480786
-1.2000000 1.2965854 1.0776958
-1.2000000 1.3385366 1.1084002
-1.2000000 1.3804878 1.1402907
-1.2000000 1.4224390 1.1734852
-1.2000000 1.4643902 1.2081242
-1.2000000 1.5063415 1.2443767
-1.2000000 1.5482927 1.2824470
-1.2000000 1.5902439 1.3225849
-1.2000000 1.6321951 1.3650990
-1.2000000 1.6741463 1.4103766
-1.2000000 1.7160976 1.4589115
-1.2000000 1.7580488 1.5113461
-1.2000000 1.8000000 1.5685377
-1.1500000 0.0800000 0.5666073
-1.1500000 0.1219512 0.5696843
-1.1500000 0.1639024 0.5740108
-1.1500000 0.2058537 0.5795585
-1.1500000 0.2478049 0.5862924
-1.1500000 0.2897561 0.5941726
-1.1500000 0.3317073 0.6031553
-1.1500000 0.3736585 0.6131943
-1.1500000 0.4156098 0.6242423
-1.1500000 0.4575610 0.6362521
-1.1500000 0.4995122 0.6491776
-1.1500000 0.5414634 0.6629748
-1.1500000 0.5834146 0.6776026
-1.1500000 0.6253659 0.6930232
-1.1500000 0.6673171 0.7092026
-1.1500000 0.7092683 0.7261110
-1.1500000 0.7512195 0.7437230
-1.1500000 0.7931707 0.7620176
-1.1500000 0.8351220 0.7809786
-1.1500000 0.8770732 0.8005941
-1.1500000 0.9190244 0.8208572
-1.1500000 0.9609756 0.8417658
-1.1500000 1.0029268 0.8633223
-1.1500000 1.0448780 0.8855346
-1.1500000 1.0868293 0.9084152
-1.1500000 1.1287805 0.9319823
-1.1500000 1.1707317 0.9562598
-1.1500000 1.2126829 0.9812777
-1.1500000 1.2546341 1.0070729
-1.1500000 1.2965854 1.0336897
-1.1500000 1.3385366 1.0611809
-1.1500000 1.3804878 1.0896090
-1.1500000 1.4224390 1.1190478
-1.1500000 1.4643902 1.1495842
-1.1500000 1.5063415 1.1813210
-1.1500000 1.5482927 1.2143800
-1.1500000 1.5902439 1.2489064
-1.1500000 1.6321951 1.2850744
-1.1500000 1.6741463 1.3230947
-1.1500000 1.7160976 1.3632250
-1.1500000 1.7580488 1.4057844
-1.1500000 1.8000000 1.4511736
-1.1000000 0.0800000 0.5741540
-1.1000000 0.1219512 0.5768662
-1.1000000 0.1639024 0.5806841
-1.1000000 0.2058537 0.5855867
-1.1000000 0.2478049 0.5915481
-1.1000000 0.2897561 0.5985384
-1.1000000 0.3317073 0.6065243
-1.1000000 0.3736585 0.6154706
-1.1000000 0.4156098 0.6253403
-1.1000000 0.4575610 0.6360963
-1.1000000 0.4995122 0.6477017
-1.1000000 0.5414634 0.6601207
-1.1000000 0.5834146 0.6733190
-1.1000000 0.6253659 0.6872647
-1.1000000 0.6673171 0.7019281
-1.1000000 0.7092683 0.7172827
-1.1000000 0.7512195 0.7333050
-1.1000000 0.7931707 0.7499748
-1.1000000 0.8351220 0.7672751
-1.1000000 0.8770732 0.7851927
-1.1000000 0.9190244 0.8037180
-1.1000000 0.9609756 0.8228448
-1.1000000 1.0029268 0.8425708
-1.1000000 1.0448780 0.8628976
-1.1000000 1.0868293 0.8838305
-1.1000000 1.1287805 0.9053791
-1.1000000 1.1707317 0.9275572
-1.1000000 1.2126829 0.9503830
-1.1000000 1.2546341 0.9738797
-1.1000000 1.2965854 0.9980759
-1.1000000 1.3385366 1.0230058
-1.1000000 1.3804878 1.0487102
-1.1000000 1.4224390 1.0752373
-1.1000000 1.4643902 1.1026434
-1.1000000 1.5063415 1.1309950
