# t id iq if torque pcu uutil
2.259863885 1.284231018 0.346973485 0.905671322 0.353748636 0.381571250 0.927125571
2.272733086 1.259645991 0.370737340 0.910785235 0.373737169 0.375408241 0.929043288
2.285602288 1.235060964 0.394501196 0.915899147 0.393182226 0.369625634 0.930961005
2.298471489 1.210475937 0.418265052 0.921013060 0.412083808 0.364223431 0.932878723
2.311340690 1.185890911 0.442028907 0.926126973 0.430441916 0.359201629 0.934796440
2.324209891 1.161305884 0.465792763 0.931240885 0.448256548 0.354560231 0.936714157
2.337079092 1.136720857 0.489556619 0.936354798 0.465527706 0.350299235 0.938631874
2.349948294 1.112135830 0.513320474 0.941468710 0.482255389 0.346418642 0.940549592
2.362817495 1.087550803 0.537084330 0.946582623 0.498439597 0.342918452 0.942467309
2.375686696 1.062965777 0.560848186 0.951696535 0.514080330 0.339798664 0.944385026
2.388555897 1.038380750 0.584612041 0.956810448 0.529177588 0.337059279 0.946302743
2.401425098 1.013795723 0.608375897 0.961924361 0.543731371 0.334700297 0.948220460
2.414294300 0.989210696 0.632139753 0.967038273 0.557741679 0.332721718 0.950138178
2.427163501 0.964625670 0.655903608 0.972152186 0.571208512 0.331123541 0.952055895
2.440032702 0.940040643 0.679667464 0.977266098 0.584131871 0.329905767 0.953973612
2.452901903 0.915455616 0.703431320 0.982380011 0.596511754 0.329068395 0.955891329
2.465771104 0.890870589 0.727195175 0.987493923 0.608348163 0.328611427 0.957809046
2.478640306 0.866285562 0.750959031 0.992607836 0.619641097 0.328534861 0.959726764
2.491509507 0.841700536 0.774722887 0.997721749 0.630390555 0.328838697 0.961644481
2.504378708 0.817115509 0.798486742 1.002835661 0.640596539 0.329522937 0.963562198
2.517247909 0.792530482 0.822250598 1.007949574 0.650259048 0.330587579 0.965479915
2.530117110 0.767945455 0.846014454 1.013063486 0.659378082 0.332032624 0.967397633
2.542986312 0.743360429 0.869778309 1.018177399 0.667953641 0.333858071 0.969315350
2.555855513 0.718775402 0.893542165 1.023291311 0.675985726 0.336063922 0.971233067
2.568724714 0.694190375 0.917306021 1.028405224 0.683474335 0.338650175 0.973150784
2.581593915 0.669605348 0.941069876 1.033519137 0.690419469 0.341616830 0.975068501
2.594463116 0.645020321 0.964833732 1.038633049 0.696821129 0.344963889 0.976986219
2.607332318 0.620435295 0.988597588 1.043746962 0.702679313 0.348691350 0.978903936
2.620201519 0.595850268 1.012361443 1.048860874 0.707994023 0.352799213 0.980821653
2.633070720 0.571265241 1.036125299 1.053974787 0.712765258 0.357287480 0.982739370
2.645939921 0.546680214 1.059889155 1.059088699 0.716993018 0.362156149 0.984657087
2.658809122 0.522095187 1.083653010 1.064202612 0.720677303 0.367405221 0.986574805
2.671678324 0.497510161 1.107416866 1.069316525 0.723818113 0.373034696 0.988492522
2.684547525 0.472925134 1.131180722 1.074430437 0.726415448 0.379044573 0.990410239
2.697416726 0.448340107 1.154944577 1.079544350 0.728469308 0.385434853 0.992327956
2.710285927 0.423755080 1.178708433 1.084658262 0.729979693 0.392205536 0.994245674
2.723155128 0.399170054 1.202472289 1.089772175 0.730946604 0.399356621 0.996163391
2.736024330 0.374585027 1.226236144 1.094886087 0.731370039 0.406888109 0.998081108
2.748893531 0.350000000 1.250000000 1.100000000 0.731250000 0.414800000 0.999998825
